X,Y,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID
-77.0575320544835,38.9336370340416,Connecticut Ave & Macomb St NW / Cleveland Park,classic,08247f59-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:42+00,2,0,10,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",42,DCA-CABI,,38.933626,-77.05753,2023/12/01 10:52:27+00,146014905
-77.0892322957314,38.8737655987281,Arlington Blvd & Fillmore St,classic,0825bbc6-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:41+00,7,0,4,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",41,DCA-CABI,,38.873755,-77.089233,2023/12/01 10:52:27+00,146014906
-77.0837095214756,38.9303241748294,New Mexico & Cathedral Ave NW,classic,1884993950171398452,,2023/12/01 10:51:06+00,19,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",,DCA-CABI,,38.930316,-77.083704,2023/12/01 10:52:27+00,146014907
-77.2359604523307,38.9240353227432,Westpark Dr & Leesburg Pike,classic,082634c6-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:55+00,7,0,4,2,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",104,DCA-CABI,,38.92403,-77.235955,2023/12/01 10:52:27+00,146014908
-77.1168142571781,38.8839297672597,Glebe Rd & 11th St N,classic,082528fb-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:49:58+00,4,0,8,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,DCA-CABI,,38.883921,-77.116817,2023/12/01 10:52:27+00,146014909
-76.9823598613978,38.8706994686156,16th & Q St SE / Anacostia HS,classic,082633ec-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:49:59+00,21,0,2,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,23,"KEY,CREDITCARD",42,DCA-CABI,,38.870695,-76.982359,2023/12/01 10:52:27+00,146014910
-77.0785718594117,38.8939970918288,Wilson Blvd & N Quinn St,classic,08251e7d-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:50:51+00,10,0,7,6,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",41,DCA-CABI,,38.893993,-77.07857,2023/12/01 10:52:27+00,146014911
-77.0859964034746,38.9617704442885,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,classic,08258b3f-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:49:53+00,12,0,5,3,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",44,DCA-CABI,,38.961763,-77.085998,2023/12/01 10:52:27+00,146014912
-77.0498877425738,38.8053247875046,King St & Patrick St,classic,08253ab7-1f3f-11e7-bf6b-3863bb334450,,2023/12/01 10:51:05+00,6,0,9,4,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.805317,-77.049883,2023/12/01 10:52:27+00,146014913
-77.1292390591566,39.0621987668258,Congressional Ln & E Jefferson St,classic,305ce636-23c1-42f3-a28b-8be4feca2e05,,2023/12/01 10:50:45+00,4,0,11,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",43,DCA-CABI,,39.06219,-77.129235,2023/12/01 10:52:27+00,146014914
