X,Y,NAME,WEB_URL,EXIT_TO_ST,LINE,ADDRESS,FEATURECODE,DESCRIPTION,CAPTUREYEAR,MAR_ID,GIS_ID,OBJECTID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,ROUTEID,MEASURE,BLOCKKEY,SUBBLOCKKEY,BLOCKFACEKEY,SIDE
-77.059006883585,38.9361455168467,CLEVELAND PARK,http://www.wmata.com/rail/station_detail.cfm?station_id=8,WEST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,red,"3516 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294817,MetroEntPt_1,321,,{94118338-2747-46EB-8A1C-6FA85F7EE4F2},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11025152,4277.7998046875,98a7099a8736cd46d26caaab7581ff94,98a7099a8736cd46d26caaab7581ff94,019208c29dfd6ec30b283b513cb07d79,Left
-77.0585374198334,38.9359846844704,CLEVELAND PARK,http://www.wmata.com/rail/station_detail.cfm?station_id=8,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW,red,"3599 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294817,MetroEntPt_2,322,,{AC5C502C-2253-4611-BB32-53CAA9421107},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11025152,4244.7001953125,98a7099a8736cd46d26caaab7581ff94,98a7099a8736cd46d26caaab7581ff94,341b4c60bbb3d3b73cf1433d8d47e2d0,Right
-76.995044654758,38.9338343185985,BROOKLAND-CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,NE CORNER OF JOHN MCCORMICK ROAD NE AND MICHIGAN AVENUE NE,red,"801 MICHIGAN AVENUE NE, WASHINGTON, DC 20017",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294853,MetroEntPt_4,324,,{2290B1E1-7583-44DB-8016-BFD0A55D570E},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,12060582,1502.30004882812,925d6de2a6a350e2393e3e35ef3f699a,925d6de2a6a350e2393e3e35ef3f699a,6fcf10315e55514c1788adb1ec7b62c0,Left
-76.9943460400974,38.9335113211738,BROOKLAND-CUA,http://www.wmata.com/rail/station_detail.cfm?station_id=27,9TH STREET NE BETWEEN BUNKER HILL RD NE AND MONROE ST NE,red,"801 MICHIGAN AVENUE NE, WASHINGTON, DC 20017",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294853,MetroEntPt_6,326,,{0255F371-01C4-4DC1-9EB4-9B2A90B307B7},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,12000902,3039.30004882812,c58a4c2603988ffb2b031d42e3bef12d,c58a4c2603988ffb2b031d42e3bef12d,da7e4ec5f9cb609e1973998b58b0e57f,Left
-77.0330320346664,38.9286189168807,COLUMBIA HEIGHTS,http://www.wmata.com/rail/station_detail.cfm?station_id=75,SW CORNER OF IRVING STREET NW AND 14TH STREET NW,"green,yellow","3030 14TH STREET NW, WASHINGTON, DC 20009",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294815,MetroEntPt_8,327,,{230B3DD1-EC8D-4727-9FC5-127585A2A863},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,11048752,2350.10009765625,d8cf21b9401e8ff38836d5aa90145f13,d8cf21b9401e8ff38836d5aa90145f13,bd020257fb22f2f407dba5c307f2b0c1,Left
-77.0523652869605,38.924468116994,WOODLEY PARK-ZOO/ADAMS MORGAN,http://www.wmata.com/rail/station_detail.cfm?station_id=7,SW CORNER OF CONNECTICUT AVENUE NW AND 24TH STREET NW,red,"2700 CONNECTICUT AVENUE NW, WASHINGTON, DC 20008",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294827,MetroEntPt_11,330,,{3928F88C-B114-4935-9674-977AFEA1444F},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11002402,1633.69995117188,6ce1da77bdb78f735cbd9a8c9769cc74,9bc9a2a3943557fd883840a27edb0e8e,4fd4f415e53245ade8aa738f8e1f6ffe,Right
-76.9960746770427,38.9204784940951,RHODE ISLAND AVE-BRENTWOOD,http://www.wmata.com/rail/station_detail.cfm?station_id=26,SOUTH SIDE OF RHODE ISLAND AVENUE NE AT RHODE ISLAND PLACE SHOPPING CENTER,red,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC 20018",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294859,MetroEntPt_12,331,,{4C3864AA-DB77-432A-BB60-3408E263EFB2},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,0,0,0,0,0,0
-77.0291983562739,38.9168307448209,U ST/AFRICAN AMER CIVIL WAR MEM/CARDOZO,http://www.wmata.com/rail/station_detail.cfm?station_id=73,SE CORNER  OF U STREET NW AND 13TH STREET NW,"green,yellow","1240 U STREET NW, WASHINGTON, DC 20009",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294840,MetroEntPt_13,332,,{8D3C471B-98EF-4F3E-BF78-8F0F50291F48},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11087232,1357.69995117188,f70c70fc8b95392ca28cad5ff2ef10fa,840abcfe35060c6ca616954590f8f03c,aba1a5ff6531eb33bb67d46553a0090d,Left
-77.0259752638627,38.9167212888408,U ST/AFRICAN AMER CIVIL WAR MEM/CARDOZO,http://www.wmata.com/rail/station_detail.cfm?station_id=73,SW CORNER OF U STREET NW AND VERMONT AVENUE NW,"green,yellow","1000 U STREET NW, WASHINGTON, DC 20009",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294840,MetroEntPt_15,334,,{3FD661CA-539F-4FC7-A250-C405A5D9BC16},JLAY,2022/12/08 16:29:28+00,JLAY,2023/07/28 19:04:41+00,11087232,1078.5,0076d81baa4ba918d197f570e5ea9607,0076d81baa4ba918d197f570e5ea9607,d15face24d48e8a7c38548d725189c7c,Left
-77.0208706495927,38.8844902579767,L'ENFANT PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SOUTH SIDE OF D STREET SW BETWEEN 6TH STREET SW AND 7TH STREET SW,"green, yellow, orange, blue, silver","400 7TH STREET SW, WASHINGTON, DC 20024",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294875,MetroEntPt_16,335,,{3B26DF25-8EA4-4571-BDA6-49621984F9A4},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14026912,632.799987792969,2fa45f37ea63fcac726c9793e07aa275,2fa45f37ea63fcac726c9793e07aa275,043e4053d069f958aa7854e168b2e9dc,Left
-77.0235478373163,38.8844570033799,L'ENFANT PLAZA,http://www.wmata.com/rail/station_detail.cfm?station_id=82,SE CORNER OF 9TH STREET SW AND D STREET SW,"green, yellow, orange, blue, silver","800 D STREET SW, WASHINGTON, DC 20024",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294875,MetroEntPt_17,336,,{2560569A-35ED-416C-A515-D370E9F81D20},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14000902,573.900024414062,f6f63672d09316553dbf9e827135a55c,583208b2f057ffa08fe1ce5e37b88d54,f444222c40493de16dea32349696f90b,Left
-76.9958152902247,38.8842528665057,EASTERN MARKET,http://www.wmata.com/rail/station_detail.cfm?station_id=60,SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE,"blue, orange, silver","725 PENNSYLVANIA AVENUE SE, WASHINGTON, DC 20003",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294870,MetroEntPt_19,337,,{2ED2510A-C03B-485D-AD3D-7506C53381EA},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,13069812,766.5,83de5c4dd6dc04d938f726db03bb273a,83de5c4dd6dc04d938f726db03bb273a,2ae1a76437bbd6e5d22f7de3a0cdee26,Right
-76.9852049551722,38.8807756675911,POTOMAC AVE,http://www.wmata.com/rail/station_detail.cfm?station_id=61,NE CORNER OF 14TH STREET SE AND POTOMAC AVENUE SE,"blue, orange, silver","700 14TH STREET SE, WASHINGTON , DC  20003",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294861,MetroEntPt_21,339,,{03B37579-72C2-4D91-9301-38E29489F282},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,13071892A,26.7000007629395,88613fcbf96272cdf479ebb9cacc1ace,88613fcbf96272cdf479ebb9cacc1ace,29f8bbb0f9ce46eb014ca803bc207e1d,Right
-77.0175388265063,38.876989770911,WATERFRONT,http://www.wmata.com/rail/station_detail.cfm?station_id=83,NE CORNER OF M STREET SW AND 4TH STREET SW,green,"399 M STREET SW, WASHINGTON, DC 20024",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294877,MetroEntPt_22,340,,{F93CC163-20A1-4388-99C7-58767F05035C},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,14000402,1412.19995117188,6495bb944a136d5876ec54612ba72acb,6495bb944a136d5876ec54612ba72acb,8919c1ef92ea6d566c86056288a10a04,Left
-77.0044974771432,38.8766767526087,NAVY YARD-BALLPARK,http://www.wmata.com/rail/station_detail.cfm?station_id=84,NW CORNER OF NEW JERSEY AVENUE SE AND M STREET SE,green,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC 20003",1370,Metro Station Entrance,2016/01/08 00:00:00+00,294869,MetroEntPt_23,341,,{92FE61E7-14A0-4FB7-8930-C03FE7E6E5DC},JLAY,2022/12/08 16:29:28+00,JLAY,2022/12/08 16:29:28+00,13057852,399.399993896484,ebe4b6e68fefe3a7173ef0d211cc0b23,f8f07b22c182ed84c4eaa071ead243e3,3c01c2457cd6e03747cb275ce3c0bf8a,Left
